,,,,,,reported,,,calculated,,calculated,,reported,calculated,,,,,,,,,,,,,,,,,,,,,,
StudyID,EstimateID,Title,comment,Author(s),PubDate,TS_PA_EffSize,bp_PA_EffSize,EffSizeSE,t,k,df,t_CorCoef,rep_CorCoef,CorCoefCorrected,CorCoefSE,Zr,ZrSE,ZrVar,ParSex,Par_SS,OffSex,Off_SS,n_obs,Species,SpermProdSeason,Phylogeny,Tissue,MethFact,OffAgeTL,W_B_PEff,EnvEff,EnvCond,MF_ID,StatM,z_transfTL,LinQuadEff
13,62,Paternal age is positively linked to telomere length of children,"""... maternal age did not significantly influence the telomere length of either male or female offspring (r = 0.57, P = 0.30 and r = 0.26, P = 0.54, respectively – with or without subject age adjustment)""","Unryn et al., 2005",2005-02-08,,,,,,,,0.570,0.57409,0.0967663,,,,F,NA,M,51,51,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFInGel,Adult,Neither,Yes,Human,No,Regression,No,Linear
13,63,Paternal age is positively linked to telomere length of children,,"Unryn et al., 2005",2005-02-08,,,,,,,,0.260,0.26173,0.1105483,,,,F,NA,F,74,74,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFInGel,Adult,Neither,Yes,Human,No,Regression,No,Linear
14,64,Offspring telomere length in the long lived Alpine swift is negatively related to the age of their biological father and foster mother,table 1,"Criscuolo et al., 2017",2017-09-13,-0.038,,0.0170,-2.190,,46.5,-0.306,,-0.30730,0.0944120,,,,M,54,Both,95,95,Tachymarptis melba,Seasonal,Tachymarptis_melba,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,No,Mixed effects,No,Linear
14,65,Offspring telomere length in the long lived Alpine swift is negatively related to the age of their biological father and foster mother,table 1,"Criscuolo et al., 2017",2017-09-13,-0.026,,0.0200,-1.320,,56,-0.174,,-0.17464,0.1010776,,,,F,53,Both,95,95,Tachymarptis melba,Seasonal,Tachymarptis_melba,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,No,Mixed effects,No,Linear
15,66,"Leukocyte telomere length, breast cancer risk in the offspring: The relations with father's age at birth",table 2,"Arbeev et al., 2011",2011-02-25,,2,8.2143,0.243,2,993,0.008,,0.00773,0.0317481,,,,M,NA,M,995,995,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
15,67,"Leukocyte telomere length, breast cancer risk in the offspring: The relations with father's age at birth",table 2,"Arbeev et al., 2011",2011-02-25,,15.5,2.8061,5.524,2,1180,0.159,,0.15883,0.0283888,,,,M,NA,F,1182,1182,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
15,68,"Leukocyte telomere length, breast cancer risk in the offspring: The relations with father's age at birth",table 2,"Arbeev et al., 2011",2011-02-25,,14.3,2.6020,5.496,2,993,0.172,,0.17189,0.0308119,,,,F,NA,M,995,995,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
15,69,"Leukocyte telomere length, breast cancer risk in the offspring: The relations with father's age at birth",table 2,"Arbeev et al., 2011",2011-02-25,,13.4,3.2653,4.104,2,1180,0.119,,0.11867,0.0287133,,,,F,NA,F,1182,1182,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,70,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Framingham Father/Son (Table 1),"Kimura et al., 2008",2008-02-15,,21.2,8.2653,2.565,6,229,0.167,0.210,0.21043,0.0627459,,,,M,NA,M,235,235,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,71,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Framingham Mother/Son (Table 1),"Kimura et al., 2008",2008-02-15,,-0.6,9.5918,-0.063,6,229,-0.004,,-0.00414,0.0656521,,,,F,NA,M,235,235,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,72,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",NHLBI-Heart Father/Daughter (Table 2),"Kimura et al., 2008",2008-02-15,,24.1,9.0816,2.654,5,487,0.119,0.140,0.14014,0.0443334,,,,M,NA,F,492,492,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,73,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",NHLBI-Heart Mother/Daughter (Table 2),"Kimura et al., 2008",2008-02-15,,-15.8,10.3061,-1.533,5,487,-0.069,,-0.06937,0.0450039,,,,F,NA,F,492,492,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,74,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",NHLBI-Heart Father/Son (Table 2),"Kimura et al., 2008",2008-02-15,,12.5,7.8571,1.591,5,350,0.085,0.190,0.19026,0.0513708,,,,M,NA,M,355,355,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,75,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",NHLBI-Heart Mother/Son (Table 2),"Kimura et al., 2008",2008-02-15,,-1,10.8673,-0.092,5,350,-0.005,0.170,0.17024,0.0517555,,,,F,NA,M,355,355,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,76,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Father/Son Danish Twins (Table 3),"Kimura et al., 2008",2008-02-15,,55,14.2857,3.850,3,41,0.515,0.630,0.63475,0.0932503,,,,M,NA,M,44,44,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
16,77,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Mother/Son Danish Twins (Table 3),"Kimura et al., 2008",2008-02-15,,-32,20.7653,-1.541,3,41,-0.234,,-0.23675,0.1474200,,,,F,NA,M,44,44,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
16,78,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Father/Daughter UK Twins (Table 4),"Kimura et al., 2008",2008-02-15,,20.4,5.6633,3.602,10,1944,0.081,0.170,0.17004,0.0219851,,,,M,NA,F,1954,1954,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
16,79,"Offspring's leukocyte telomere length, paternal age, and telomere elongation in sperm",Mother/Daughter UK Twins (Table 4),"Kimura et al., 2008",2008-02-15,,-4.8,7.0918,-0.677,10,1944,-0.015,,-0.01535,0.0226344,,,,F,NA,F,1954,1954,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,Yes,Human,No,Regression,No,Linear
17,80,Maternal and genetic factors determine early life telomere length,table 1,"Asghar et al., 2015",2015-01-22,,,,,,,,0.110,0.11040,0.0847041,,,,M,46,Both,139,139,Acrocephalus arundinaceus,Seasonal,Acrocephalus_arundinaceus,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
17,81,Maternal and genetic factors determine early life telomere length,table 1,"Asghar et al., 2015",2015-01-22,,,,,,,,0.410,0.41126,0.0712459,,,,F,46,Both,139,139,Acrocephalus arundinaceus,Seasonal,Acrocephalus_arundinaceus,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
18,82,Telomere length in early childhood: Early life risk factors and association with carotid intima-media thickness in later childhood,Table S2,"Skilton et al., 2016",2020-08-29,0.013,,0.0066,1.960,12,226,0.129,,0.12955,0.0641379,,,,M,NA,Both,331,238,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
18,83,Telomere length in early childhood: Early life risk factors and association with carotid intima-media thickness in later childhood,Table S2,"Skilton et al., 2016",2020-08-29,-0.01,,0.0077,-1.307,12,226,-0.087,,-0.08678,0.0647416,,,,F,NA,Both,331,238,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,None
19,84,Paternal age at birth is an important determinant of offspring telomere length,Table 2,"De Meyer et al., 2007",2007-09-19,,17,2.5510,6.664,5,2428,0.134,,0.13405,0.0199215,,,,M,2433,Both,2433,2433,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
19,85,Paternal age at birth is an important determinant of offspring telomere length,"""After splitting the dataset according to gender, in men, (offspring age-adjusted) TL values are estimated to increase with 15.5 bp (95% CI: 9.6– 21.3) for each year the father is older at their sons’ birth.""","De Meyer et al., 2007",2007-09-19,,15.5,2.9592,5.238,5,1171,0.151,,0.15137,0.0285289,,,,M,2433,M,1176,1176,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
19,86,Paternal age at birth is an important determinant of offspring telomere length,"""For daughters, this estimate is 19.1 bp (95% CI: 13.0 – 25.3), showing no statistical difference between both genders.""","De Meyer et al., 2007",2007-09-19,,19.1,3.1633,6.038,5,1252,0.168,,0.16828,0.0274395,,,,M,2433,F,1257,1257,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
20,87,Links between parental life histories of wild salmon and the telomere lengths of their offspring,Embryo RTL; table s2,"McLennan et al., 2018",2017-12-23,-0.007,,0.0100,-0.700,,22.87,-0.145,,-0.14610,0.1296261,,,,M,51,Both,60,60,Salmo salar,Seasonal,Salmo_salar,Caudal fin,qPCR,Juvenile,Neither,Yes,Captive,No,Regression,No,Linear
20,88,Links between parental life histories of wild salmon and the telomere lengths of their offspring,Embryo RTL; table s2,"McLennan et al., 2018",2017-12-23,0.021,,0.0300,0.700,,10.33,0.213,,0.21462,0.1263522,,,,F,41,Both,60,60,Salmo salar,Seasonal,Salmo_salar,Caudal fin,qPCR,Juvenile,Neither,Yes,Captive,No,Regression,No,Linear
20,89,Links between parental life histories of wild salmon and the telomere lengths of their offspring,Fry RTL; table s2,"McLennan et al., 2018",2017-12-23,-0.015,,0.0100,-1.500,,8.56,-0.456,,-0.45945,0.1044931,,,,M,51,Both,60,60,Salmo salar,Seasonal,Salmo_salar,Caudal fin,qPCR,Juvenile,Neither,Yes,Captive,No,Regression,No,Linear
20,90,Links between parental life histories of wild salmon and the telomere lengths of their offspring,Fry RTL; table s2,"McLennan et al., 2018",2017-12-23,0.007,,0.0300,0.233,,5.98,0.095,,0.09583,0.1312370,,,,F,41,Both,60,60,Salmo salar,Seasonal,Salmo_salar,Caudal fin,qPCR,Juvenile,Neither,Yes,Captive,No,Regression,No,Linear
21,91,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 3,"Chen et al., 2022",2022-01-25,0.13,,0.0357,3.640,10,711,0.135,,0.13535,0.0366360,,,,M,NA,Both,721,721,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,92,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 3,"Chen et al., 2022",2022-01-25,0.2,,0.0459,4.356,8,370,0.221,,0.22112,0.0491148,,,,M,NA,M,378,378,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,93,Variability in newborn telomere length is explained by inheritance and intrauterine environment,"table 3 is ""reported best"" but s2 is the most complicated","Chen et al., 2022",2022-01-25,0.07,,0.0357,1.960,51,899,0.065,,0.06526,0.0323572,,,,F,NA,Both,950,950,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,94,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 2,"Chen et al., 2022",2022-01-25,0.10,,0.0357,2.800,51,754,0.101,,0.10151,0.0349474,,,,M,NA,Both,805,805,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,95,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 2,"Chen et al., 2022",2022-01-25,0.13,,0.1537,0.846,51,376,0.044,,0.04364,0.0484718,,,,M,NA,M,427,427,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,96,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 2,"Chen et al., 2022",2022-01-25,0.11,,0.0459,2.396,51,449,0.112,,0.11245,0.0442889,,,,F,NA,M,500,500,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
21,97,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 2,"Chen et al., 2022",2022-01-25,0.06,,0.0510,1.176,51,327,0.065,,0.06498,0.0514217,,,,M,NA,F,378,378,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,None
21,98,Variability in newborn telomere length is explained by inheritance and intrauterine environment,table 2,"Chen et al., 2022",2022-01-25,0.03,,0.0459,0.653,51,399,0.033,,0.03273,0.0472477,,,,F,NA,F,450,450,Homo sapiens,Continuous,Homo_sapiens,Umbilical cord,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,
22,99,Impact of Antiretroviral Treatment Containing Tenofovir Difumarate on the Telomere Length of Aviremic HIV-Infected Patients,"Table 2, All (TDF Exposed and Non-TDF Exposed)","Montejano et al., 2017",2017-09-01,0.002166061757,,0.0009,2.461,12,188,0.177,,0.17710,0.0690124,,,,M,NA,Both,200,200,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,Yes,Human,No,Regression,No,Linear
22,100,Impact of Antiretroviral Treatment Containing Tenofovir Difumarate on the Telomere Length of Aviremic HIV-Infected Patients,"Table 2, Non-TDF Exposed","Montejano et al., 2017",2017-09-01,0.00259798072,,0.0015,1.691,12,85,0.180,,0.18133,0.0997507,,,,M,NA,Both,97,97,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,Yes,Human,No,Regression,No,Linear
23,101,Longitudinal evidence that older parents produce offspring with longer telomeres in a wild social bird,"table 1, (>11 days)","Brown et al., 2021",2021-10-20,-0.087,,0.0530,-1.642,13,151,-0.132,,-0.13281,0.0774208,,,,M,57,Both,164,164,Plocepasser mahali,Seasonal,Plocepasser_mahali,Erythrocytes,qPCR,Juvenile,Within,Yes,Wild,Yes,Regression,Yes,Linear
23,102,Longitudinal evidence that older parents produce offspring with longer telomeres in a wild social bird,"table 1, (11–89 days)","Brown et al., 2021",2021-10-20,0.013,,0.0480,0.271,13,212,0.019,,0.01864,0.0670923,,,,M,57,Both,169,225,Plocepasser mahali,Seasonal,Plocepasser_mahali,Erythrocytes,qPCR,Juvenile,Within,Yes,Wild,Yes,Regression,Yes,Linear
23,103,Longitudinal evidence that older parents produce offspring with longer telomeres in a wild social bird,"table 1 (>90 days old, adult)","Brown et al., 2021",2021-10-20,0.096,,0.0400,2.400,13,363,0.125,,0.12515,0.0509671,,,,F,61,Both,165,376,Plocepasser mahali,Seasonal,Plocepasser_mahali,Erythrocytes,qPCR,Adult,Within,Yes,Wild,Yes,Regression,Yes,Linear
24,104,Telomere length is reduced in 9-to 16-year-old girls exposed to gestational diabetes in utero,"not significant, table 3","Hjort et al., 2018",2018-01-23,2.2,,7.5510,0.291,8,900,0.010,,0.00972,0.0332380,,,,F,908,Both,908,908,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
24,105,Telomere length is reduced in 9-to 16-year-old girls exposed to gestational diabetes in utero,esm table 2,"Hjort et al., 2018",2018-01-23,11,,10.2041,1.078,7,465,0.050,,0.04998,0.0460604,,,,F,908,M,472,472,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
24,106,Telomere length is reduced in 9-to 16-year-old girls exposed to gestational diabetes in utero,esm table 2,"Hjort et al., 2018",2018-01-23,-8.3,,11.8878,-0.698,7,429,-0.034,,-0.03373,0.0480023,,,,F,908,F,436,436,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,None
25,107,Epigenetic inheritance of telomere length in wild birds,table 2a; delta age father,"Bauch et al., 2019",2019-02-14,,-55.5,20.2000,-2.748,,80.5,-0.293,,-0.29299,0.0342594,,,,M,197,Both,715,715,Corvus monedula,Seasonal,Corvus_monedula,Erythrocytes,TRFSouthern,Juvenile,Within,No,Wild,Yes,Mixed effects,No,Linear
25,108,Epigenetic inheritance of telomere length in wild birds,table 2a; delta age mother,"Bauch et al., 2019",2019-02-14,,-38.4,23.5000,-1.634,,27.5,-0.297,,-0.29768,0.0341556,,,,F,194,Both,715,715,Corvus monedula,Seasonal,Corvus_monedula,Erythrocytes,TRFSouthern,Juvenile,Within,No,Wild,Yes,Mixed effects,No,Linear
25,109,Epigenetic inheritance of telomere length in wild birds,table 2b; mean age father,"Bauch et al., 2019",2019-02-14,,-26.4,19.0000,-1.389,,189.3,-0.100,,-0.10055,0.0370977,,,,M,197,Both,715,715,Corvus monedula,Seasonal,Corvus_monedula,Erythrocytes,TRFSouthern,Juvenile,Between,No,Wild,Yes,Mixed effects,No,Linear
25,110,Epigenetic inheritance of telomere length in wild birds,table 2b; mean age mother,"Bauch et al., 2019",2019-02-14,,-31,17.5000,-1.771,,193.4,-0.126,,-0.12644,0.0368774,,,,F,194,Both,715,715,Corvus monedula,Seasonal,Corvus_monedula,Erythrocytes,TRFSouthern,Juvenile,Between,No,Wild,Yes,Mixed effects,No,Linear
26,111,Telomere length in early childhood is associated with sex and ethnicity,table 3,"Ly et al., 2019",2019-06-17,0.004,,0.0008,5.000,9,4375,0.075,,0.07539,0.0150224,,,,F,NA,Both,4384,4384,Homo sapiens,Continuous,Homo_sapiens,Buccal cells,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
26,112,Telomere length in early childhood is associated with sex and ethnicity,table 2,"Ly et al., 2019",2019-06-17,0.002,,0.0008,2.500,2,4382,0.038,,0.03774,0.0150867,,,,F,NA,Both,4384,4384,Homo sapiens,Continuous,Homo_sapiens,Buccal cells,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
26,113,Telomere length in early childhood is associated with sex and ethnicity,table 2,"Ly et al., 2019",2019-06-17,0.0038,,0.0009,4.222,2,4382,0.064,,0.06366,0.0150470,,,,M,NA,Both,4384,4384,Homo sapiens,Continuous,Homo_sapiens,Buccal cells,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
27,114,Shorter telomere length in peripheral blood leukocytes is associated with childhood autism,"Table 3, not significant","Li et al., 2014",2014-11-17,,,,,,,,0.010,0.01005,0.0966639,,,,M,NA,Both,110,110,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Correlation,No,None
27,115,Shorter telomere length in peripheral blood leukocytes is associated with childhood autism,"Table 3, not significant","Li et al., 2014",2014-11-17,,,,,,,,0.020,0.02009,0.0966346,,,,F,NA,Both,110,110,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Correlation,No,None
28,116,Characteristics of salivary telomere length shortening in preterm infants,preterm infants collected at birth,"Schneper et al., 2023",2023-01-17,0.019,,0.0070,2.714,5,18,0.539,,0.54898,0.1562175,,,,F,NA,Both,35,23,Homo sapiens,Continuous,Homo_sapiens,Buccal cells,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
28,117,Characteristics of salivary telomere length shortening in preterm infants,preterm infants at term adjusted age,"Schneper et al., 2023",2023-01-17,0.015,,0.0070,2.143,5,25,0.394,,0.40032,0.1616089,,,,F,NA,Both,35,30,Homo sapiens,Continuous,Homo_sapiens,Buccal cells,qPCR,Juvenile,Neither,Yes,Human,No,Regression,Yes,Linear
29,118,Testing for paternal influences on offspring telomere length in a human cohort in the Philippines,Supplementary Table 1,"Eisenberg et al., 2020",2019-12-16,0.0014,,0.0017,0.824,27,668,0.032,,0.03187,0.0379757,,,,M,NA,Both,695,695,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,Yes,Human,No,Regression,No,None
30,119,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 1,"Codd et al., 2022",2022-02-17,0.02,,0.0010,19.600,3,97231,0.063,,0.06273,0.0031944,,,,M,97234,Both,97234,97234,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
30,120,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 1,"Codd et al., 2022",2022-02-17,0.017,,0.0005,33.320,3,170685,0.080,,0.08039,0.0024048,,,,F,170688,Both,170688,170688,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
30,121,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 2,"Codd et al., 2022",2022-02-17,0.018,,0.0031,5.880,4,21981,0.040,,0.03963,0.0067342,,,,M,21985,Both,21985,21985,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
30,122,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 2,"Codd et al., 2022",2022-02-17,0.004,,0.0031,1.307,4,21981,0.009,,0.00881,0.0067442,,,,F,21985,Both,21985,21985,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
30,123,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 2,"Codd et al., 2022",2022-02-17,0.019,,0.0026,7.448,4,10755,0.072,,0.07164,0.0095927,,,,M,10759,Both,10759,10759,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
30,124,"Measurement and initial characterization of leukocyte telomere length in 474,074 participants in UK Biobank",Table 5 stage 2,"Codd et al., 2022",2022-02-17,0.001,,0.0026,0.392,4,10755,0.004,,0.00378,0.0096420,,,,F,10759,Both,10759,10759,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,Yes,Regression,Yes,Linear
31,125,Early exclusive breastfeeding is associated with longer telomeres in Latino preschool children,"""Paternal age analyzed continuously was also positively associated with child TL""","Wojcicki et al., 2016",2016-07-20,,33.27,14.8827,2.235,5,155,0.177,,0.17728,0.0773004,,,,M,NA,Both,96,160,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
32,126,Telomere length is not a main factor for the development of islet autoimmunity and type 1 diabetes in the TEDDY study,,"Törn et al., 2022",2022-03-16,0.013,,0.0055,2.364,18,1101,0.071,,0.07109,0.0297830,,,,M,1119,Both,1119,1119,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,WGS,Juvenile,Neither,Yes,Human,No,Regression,No,None
32,127,Telomere length is not a main factor for the development of islet autoimmunity and type 1 diabetes in the TEDDY study,,"Törn et al., 2022",2022-03-16,0.002,,0.0064,0.313,18,1101,0.009,,0.00942,0.0299316,,,,F,1119,Both,1119,1119,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,WGS,Juvenile,Neither,Yes,Human,No,Regression,No,None
33,128,Maternal pro-inflammatory state during pregnancy and newborn leukocyte telomere length: A prospective investigation,table 3; using UNstandardized coefficient for values as the goal is to see how maternal age affects TL in specific units (and not compare the influence of X vs Y on TL),"Lazarides et al., 2019",2019-04-08,0.002,,0.0060,0.333,6,106,0.032,,0.03251,0.0956814,,,,F,112,Both,112,112,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
34,129,Telomere length is associated with oppositional defiant behavior and maternal clinical depression in Latino preschool children,,"Wojcicki et al., 2015",2015-06-16,,24.63,11.9847,2.055,7,196,0.145,,0.14560,0.0692118,,,,M,203,Both,203,203,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,None
35,130,Genetic architecture and heritability of early-life telomere length in a wild passerine,"""There was no evidence for associations between offspring TL and ... PAC (β∆PAC =0.005 0.003, CI = [– 0.002, 0.011],βmean PAC= –0.001 ± 0.003, CI = [–0.008, 0.005], Figure S2.1b,d in Appendix S2).""","Le Pepke et al., 2022",2021-11-26,0.005,,0.0030,1.667,6,1921,0.038,,0.03801,0.0227651,,,,M,388,Both,1927,1927,Passer domesticus,Seasonal,Passer_domesticus,Erythrocytes,qPCR,Juvenile,Within,No,Wild,Yes,Regression,No,Linear
35,131,Genetic architecture and heritability of early-life telomere length in a wild passerine,"""There was no evidence for associations between offspring TL and MAC (β∆MAC =0.001 ± 0.004, CI = [– 0.007, 0.009],βmean MAC =0.001 0.005, CI = [–0.008, 0.010], Figures S2.1a,c in Appendix S2)""","Le Pepke et al., 2022",2021-11-26,0.001,,0.0040,0.250,6,1961,0.006,,0.00565,0.0225640,,,,F,373,Both,1967,1967,Passer domesticus,Seasonal,Passer_domesticus,Erythrocytes,qPCR,Juvenile,Within,No,Wild,Yes,Regression,No,Linear
35,132,Genetic architecture and heritability of early-life telomere length in a wild passerine,"""There was no evidence for associations between offspring TL and MAC (β∆MAC =0.001 ± 0.004, CI = [– 0.007, 0.009],βmean MAC =0.001 0.005, CI = [–0.008, 0.010], Figures S2.1a,c in Appendix S2)""","Le Pepke et al., 2022",2021-11-26,0.001,,0.0050,0.200,6,1921,0.005,,0.00456,0.0227976,,,,F,388,Both,1927,1927,Passer domesticus,Seasonal,Passer_domesticus,Erythrocytes,qPCR,Juvenile,Between,No,Wild,Yes,Regression,No,Linear
35,133,Genetic architecture and heritability of early-life telomere length in a wild passerine,"""There was no evidence for associations between offspring TL and ... PAC (β∆PAC =0.005 0.003, CI = [– 0.002, 0.011],βmean PAC= –0.001 ± 0.003, CI = [–0.008, 0.005], Figure S2.1b,d in Appendix S2).""","Le Pepke et al., 2022",2021-11-26,-0.001,,0.0030,-0.333,6,1961,-0.008,,-0.00753,0.0225634,,,,M,373,Both,1967,1967,Passer domesticus,Seasonal,Passer_domesticus,Erythrocytes,qPCR,Juvenile,Between,No,Wild,Yes,Regression,No,Linear
36,134,Leukocyte Telomere Length in Newborns: Implications for the Role of Telomeres in Human Disease,Table 3,"Factor-Litvak et al., 2016",2016-04-01,,16,6.0000,2.667,9,970,0.085,,0.08535,0.0317760,,,,M,490,Both,490,979,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Juvenile,Neither,No,Human,No,Regression,No,Linear
